authors,likes,quotes,tags
"Roy T. Bennett,",223,"“Believe in your infinite potential. Your only limitations are those you set upon yourself. Believe in yourself, your abilities and your own potential. Never let self-doubt hold you captive. You are worthy of all that you dream of and hope for.”","['abilities', 'ability', 'believe', 'believe-in-yourself', 'confidence', 'dream', 'dreams', 'empowerment', 'hope', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'limitations', 'limits', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'potential', 'self-doubt', 'spiritual-growth', 'spirituality']"
"Mutanat Enemy, Buffy the Vampire Slayer",221,"“Don't give me songs, give me something to sing about!”","['inspiration', 'passion']"
Helen Steiner Rice,215,"“When you ask God for a gift, Be thankful if he sends, Not diamonds, pearls or riches, but the love of real true friends.”","['christian', 'friends', 'inspiration']"
"Roy T. Bennett,",215,"“Every challenge you face today makes you stronger tomorrow. The challenge of life is intended to make you better, not bitter.”","['challenge', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'strong']"
"Santosh Kalwar,",209,"“Love has no culture, boundaries, race and religion. It is pure and beautiful like early morning sunrise falling in lake.”",['inspiration']
"Roy T. Bennett,",206,"“You attract who you are being. When you work at being the type of person that you want to attract, you attract those kinds of people into your life.”","['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'laws-of-attraction', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Roy T. Bennett,205,"“If you have kindness in your heart, you offer acts of kindness to touch the hearts of others wherever you go—whether they are random or planned. Kindness becomes a way of life.”","['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'kindness', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Roy T. Bennett,185,"“Real change is difficult at the beginning. Without the familiar to rely upon, you may not in as much command as you had once been. When things are not going your way, you will start doubting yourself. Stay positive, keep the faith, and keep moving forward – your breakthrough may be just around the corner.”","['breakthrough', 'change', 'faith', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'just-around-the-corner', 'keep-moving-forward', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'stay-positive']"
Edith Södergran,449,“The inner fire is the most important thing mankind possesses.”,"['creativity', 'inspiration', 'philosophy', 'vitality']"
"Terry Tempest Williams,",342,"“This is my living faith, an active faith, a faith of verbs: to question, explore, experiment, experience, walk, run, dance, play, eat, love, learn, dare, taste, touch, smell, listen, speak, write, read, draw, provoke, emote, scream, sin, repent, cry, kneel, pray, bow, rise, stand, look, laugh, cajole, create, confront, confound, walk back, walk forward, circle, hide, and seek.”","['belief', 'faith', 'inspiration']"
"T.F. Hodge,",332,"“Head up, heart open. To better days!”","['confidence', 'encouragement', 'endurance', 'faith', 'inspiration', 'optimism', 'quotes']"
John Waters,313,"“Collect books, even if you don't plan on reading them right away. Nothing is more important than an unread library.”","['art', 'creativity', 'inspiration', 'writing', 'writing-advice-process']"
"Jaachynma N.E. Agu,",305,“Don't blow off another's candle for it won't make yours shine brighter.”,"['accomplishments', 'african-american-authors', 'african-authors', 'agu-jaachynam-n-e', 'amazom', 'anyaele-sam-chiyson', 'aspiration', 'be-different', 'book', 'business', 'chiysonovelty-bookclub', 'elections', 'entrepreneurship', 'fame', 'forbes', 'greater-glory', 'greatness', 'higher-living', 'immortality', 'improvement', 'inspiration', 'international-authors', 'intimacy', 'it-is-time-to-get-very-rich', 'jaachynma', 'leadership', 'life', 'money', 'niche', 'nigerian-authors', 'president', 'reading', 'relationship', 'revolution', 'richest', 'risk-it', 'security', 'self-help', 'success', 'successful-living', 'the-best-option', 'the-prince-and-the-pauper', 'the-sagacity-of-sage', 'wealth']"
Caroline Kennedy,276,"“Sometimes it takes a while to recognize that someone has a special ability to get us to believe in ourselves, to tie that belief to our highest ideals, and to imagine that together we can do great things.In those rare moments, when such a person comes along, we need to put aside our plans and reach for what we know is possible.”","['barack-obama', 'endorsement', 'inspiration', 'kennedy', 'politics', 'voting']"
"Ovid,",264,"“Happy is the man who has broken the chains which hurt the mind, and has given up worrying once and for all.”""Be patient and tough; one day this pain will be useful to you.”","['courage', 'inspiration']"
Charles Bukowski,247,"“Writing is something that you don't know how to do. You sit down and it's something that happens, or it may not happen. So, how can you teach anybody how to write? It's beyond me, because you yourself don't even know if you're going to be able to. I'm always worried, well, you know, every time I go upstairs with my wine bottle. Sometimes I'll sit at that typewriter for fifteen minutes, you know. I don't go up there to write. The typewriter's up there. If it doesn't start moving, I say, well this could be the night that I hit the dust.”","['fear', 'inspiration', 'writer-s-block', 'writing']"
Hilary Mantel,245,"“If you get stuck, get away from your desk. Take a walk, take a bath, go to sleep, make a pie, draw, listen to ­music, meditate, exercise; whatever you do, don't just stick there scowling at the problem. But don't make telephone calls or go to a party; if you do, other people's words will pour in where your lost words should be. Open a gap for them, create a space. Be patient.""[The Guardian, 25 February 2010]”","['creativity', 'distraction', 'inspiration', 'openness', 'problem-solving', 'procrastination', 'writers-block']"
Jack Welch,227,"“Face reality as it is, not as it was or as you wish it to be.”","['inspiration', 'motivation']"
Colette,226,“Hope costs nothing. ”,"['hope', 'inspiration']"
Leo Babauta,225,"“Instead of focusing on how much you can accomplish, focus on how much you can absolutely love what you’re doing.”","['focus', 'inspiration', 'life']"
Abraham Lincoln,222,“The probability that we may fail in the struggle ought not to deter usfrom the support of a cause we believe to be just.”,"['inspiration', 'moral-courage', 'right', 'right-and-wrong']"
C. JoyBell C.,217,"“Politeness is okay, but it gets old and boring. You want to attack life with a passion, not a politeness, you want people to think about you and remember you and say ""she is so passionate"" you don't want people to think about you and remember you and say ""she is so polite,"" because, who cares about polite?”","['being-passionate', 'inspiration', 'inspirational', 'inspirational-life', 'inspirational-quotes', 'inspiring', 'life-and-living', 'passion', 'passion-for-life', 'passionate', 'passionate-life', 'passionate-living', 'passions', 'polite', 'politeness']"
Benjamin Disraeli,216,“The best way to become acquainted with a subject is to write about it. ”,"['books', 'classics', 'inspiration', 'writing']"
"Roy T. Bennett,",206,"“You have come a long way and have won many battles. Whenever you’re faced with a difficult or challenging situation, you’ll overcome it. Yes, you can.”","['challenge', 'difficulty', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Vince Lombardi,204,"“The quality of a man's life is in direct proportion to his commitment to excellence, regardless of his chosen field of endeavor.”","['inspiration', 'motivation']"
Leo Babauta,202,"“The way I define happiness is being the creator of your experience, choosing to take pleasure in what you have, right now, regardless of the circumstances, while being the best you that you can be.”","['choice', 'circumstance', 'happiness', 'inspiration', 'life', 'pleaure', 'wisdom']"
